epoch,train_loss,validation_loss
1,0.36121578722499137,0.14109267429871994
2,0.07486503190079401,0.04267576743255962
3,0.030058646054808482,0.021812335672703655
4,0.018502555224438045,0.015917901881039143
5,0.014930562700989634,0.01392457735809413
6,0.013653218377988005,0.013139764016324823
7,0.013091139062199482,0.012747217816385355
8,0.01276748861337817,0.01249737927520817
9,0.012539843985334385,0.012291205030950632
10,0.012379179405438345,0.012124750593846495
11,0.012229452905959861,0.011972665024751966
12,0.011980479886365492,0.010829918848519976
13,0.00951872408649949,0.008611966347829863
14,0.00850386060990913,0.00815952272916382
15,0.008154801114700561,0.007912429938600822
16,0.007879847953052715,0.007590906736864285
17,0.0075654618896890515,0.007238058711994778
18,0.007209766244645728,0.006940497043119235
19,0.006945862207388462,0.006719768682325428
20,0.006771929063942543,0.006577409888533029
21,0.006632306483076062,0.006448009305379607
22,0.006500526851173057,0.006327029571614482
23,0.00638380529748839,0.0062342805110595445
24,0.0063034142150955146,0.0061291538348252125
25,0.006204962979482357,0.006044103890996088
26,0.006110823160947063,0.005976781545376236
27,0.006034520324752774,0.005886318627744913
28,0.005961377855910118,0.005834715017540889
29,0.00590752002371605,0.00578854719854214
30,0.005866323511094548,0.005778670268641276
31,0.0058330247005404425,0.005718665112825957
32,0.005810572917378226,0.005699699871580709
33,0.005767839809143266,0.0056581574661487884
34,0.005754191829108222,0.00564181770790707
35,0.005714897131330745,0.00560579855333675
36,0.005685089665010225,0.005601286422461271
37,0.005658632545017226,0.00555545472624627
38,0.005642549015668242,0.005576641806824641
39,0.005619906462988881,0.0055116699500517416
40,0.005602293073871108,0.005545289382677187
